,ID,X.x,Cugdc,RunfileC,pcC,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15N,d15Nsd,,Species,time,rep,temp,CharrNo,Freshwt,Charwt,char,pcwtloss,newCN
29,OAT21524B,29,431.1938769,181031,62.49186622,-28.2975542,0.084154077,103.089739,NA,3.629920387,4.273440038,0.273227246,-0.61938396,oat,24,B,215,3,1570.52,974.36,charred,37.95940198,20.08506234
30,OAT21524C,30,436.6630837,181031,66.16107329,-27.47903502,0.083396903,111.8820058,NA,3.680329138,4.240226779,0.273339131,-0.620667564,oat,24,C,215,3,1570.52,974.36,charred,37.95940198,20.97310212
108,C5LEN230-4C,57,352.2272567,131016,55.03550886,-26.32966221,0.047811714,86.18308288,130926,5.560198895,0.493606818,0.218447529,0,LE,4,C,230,4,1.59689,0.98698,charred,38.19361384,11.54780519
106,C5LEN230-4A,64,386.4,131017,56.82352941,-26.3728835,0.049533004,91.52446206,130926,5.866952696,1.078591277,0.217446892,0,LE,4,A,230,4,1.59689,0.98698,charred,38.19361384,11.29958278
107,C5LEN230-4B,42,370.6047026,131016,54.50069156,-25.91739727,0.047346653,93.59646185,130927,5.777559373,0.91088221,0.319083496,0,LE,4,B,230,4,1.59689,0.98698,charred,38.19361384,11.00536334
80,C5BW230-4B,18,347.1717244,131016,57.86195407,-26.96919404,0.048630793,54.83839403,130927,1.878027193,1.676370501,0.315146345,0,BW,4,B,230,4,3.16556,1.95498,charred,38.24220675,35.9449604
81,C5BW230-4C,61,382.7571892,131021,55.47205641,-26.89667434,0.052350982,56.48960132,130819,1.947917287,1.530061429,0.324492294,0,BW,4,C,230,4,3.16556,1.95498,charred,38.24220675,33.22389486
79,C5BW230-4A,53,386.39,131017,61.33174603,-26.96835752,0.050491009,74.88329528,130930,2.463266292,1.75563042,0.323904935,0,BW,4,A,230,4,3.16556,1.95498,charred,38.24220675,29.04830222
75,C4PEA215-8C,60,384.7423883,131026,56.57976299,-27.80864206,0.080260768,79.97164436,130902,5.061496478,0.929852866,0.333077373,0,PE,8,C,215,2,6.14241,3.75692,charred,38.83638507,13.0415429
73,C4PEA215-8A,45,352.4159252,131016,55.93903575,-27.67846245,0.04967165,83.66624951,130910,5.19666146,0.606042813,0.213985065,0,PE,8,A,215,2,6.14241,3.75692,charred,38.83638507,12.55848757
74,C4PEA215-8B,19,349.1836377,131022,58.19727295,-27.73725009,0.051488402,87.79025416,130910,5.320621464,1.635233023,0.210613972,0,PE,8,B,215,2,6.14241,3.75692,charred,38.83638507,12.76106915
89,C5EIN230-4B,58,403.86,131017,63.103125,-27.21058423,0.050897879,81.84223829,130819,2.783749602,1.567534256,0.32420812,0,EI,4,B,230,4,1.75698,1.07113,charred,39.03573177,26.44645641
