,ID,ID,ID,RunfileC,pcC,normd13C,d13Csd,RunfileN,pcN,normd15N,d15Nsd,,RunfileC,pcC,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15N,d15Nsd
138,RYE23024A,RYE23024A,RYE23024A,181129,66.52515563,-25.28189959,0.077967731,181210,2.83197265,4.98542496,0.378593637,,,,,,,,,,
139,RYE23024B,RYE23024B,RYE23024B,181129,61.16668977,-25.13976381,0.077461694,190228,4.226104012,3.741957272,0.334524736,,,,,,,,,,
140,RYE23024B,RYE23024B,RYE23024B,181129,61.16668977,-25.13976381,0.077461694,181210,2.840089734,5.021985655,0.378382803,,,,,,,,,,
141,RYE23024C,RYE23024C,RYE23024C,181129,59.30053982,-25.05685436,0.077168657,190228,5.548046866,3.850180071,0.333439075,,,,,,,,,,
142,RYE23024C,RYE23024C,RYE23024C,181129,59.30053982,-25.05685436,0.077168657,181210,2.52230443,4.992480854,0.378552599,,,,,,,,,,
143,RYE2304A,RYE2304A,RYE2304A,181129,56.59867753,-25.39296974,0.078366345,190228,3.941464089,4.526644736,0.326930404,,,,,,,,,,
144,RYE2304A,RYE2304A,RYE2304A,181129,56.59867753,-25.39296974,0.078366345,181210,3.227693497,6.213413115,0.373998178,,,,,,,,,,
145,RYE2304B,RYE2304B,RYE2304B,181129,51.8787542,-25.7642876,0.079718614,190228,3.986606182,3.116628785,0.341027677,,,,,,,,,,
146,RYE2304B,RYE2304B,RYE2304B,181129,51.8787542,-25.7642876,0.079718614,181210,2.488514939,4.035961762,0.385609656,,,,,,,,,,
147,RYE2304EDA,RYE2304EDA,RYE2304EDA,181129,57.1339021,-25.26948169,0.077923337,181210,2.337094202,4.333267898,0.383097704,,,,,,,,,,
148,RYE2304EDB,RYE2304EDB,RYE2304EDB,181129,56.47796542,-25.28848147,0.077991275,181210,2.252289998,4.078385745,0.385233972,,,,,,,,,,
149,RYE2308A,RYE2308A,RYE2308A,181129,61.84891946,-25.22253447,0.077755818,181210,2.870117465,4.263498291,0.383661772,,,,,,,,,,
150,RYE2308B,RYE2308B,RYE2308B,181129,60.63415545,-25.36956087,0.078282105,181210,2.60405181,5.3198024,0.376832804,,,,,,,,,,
151,RYE2308C,RYE2308C,RYE2308C,181129,50.50477487,-24.6333366,0.075697119,181210,2.961457191,4.832806189,0.379521926,,,,,,,,,,
152,RYE2308C,RYE2308C,RYE2308C,181129,50.50477487,-24.6333366,0.075697119,190228,2.463538108,3.732630403,0.33461886,,,,,,,,,,
153,RYE24524A,RYE24524A,RYE24524A,181206,66.55284007,-27.07382304,0.077210291,NA,NA,NA,NA,,,,,,,,,,
154,RYE24524A,RYE24524A,RYE24524A,190117,60.02858713,-27.28184465,0.280292347,NA,NA,NA,NA,,,,,,,,,,
155,RYE24524B,RYE24524B,RYE24524B,190117,63.32587703,-26.40078873,0.267722189,190208,2.357228232,2.303063169,0.300365202,,,,,,,,,,
156,RYE24524B,RYE24524B,RYE24524B,181206,56.64317226,-26.34752558,0.074962678,190208,2.357228232,2.303063169,0.300365202,,,,,,,,,,
157,RYE24524C,RYE24524C,RYE24524C,181206,63.60591962,-26.82711759,0.076437759,NA,NA,NA,NA,,,,,,,,,,
158,RYE24524C,RYE24524C,RYE24524C,190117,61.10202024,-26.90919116,0.274948462,NA,NA,NA,NA,,,,,,,,,,
