,ID,ID,ID,Cugdc,RunfileC,pcC,CN_Crun,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15N,d15Nsd,,,
121,RYE0A,RYE0A,RYE0A,421.6021144,190402,41.33354063,40.06288,-25.60012486,0.061249673,57.25671104,190405,1.417245323,3.734427714,0.386997767,,,
122,RYE0A,RYE0A,RYE0A,404.7804818,190117,40.07727543,39.20286742,-25.63311556,0.256964061,57.25671104,190405,1.417245323,3.734427714,0.386997767,,,
123,RYE0B,RYE0B,RYE0B,347.7694027,190117,36.22597945,47.71795802,-25.8506203,0.259992356,51.53908766,190405,1.221305395,4.082014977,0.382050955,,,
124,RYE0B,RYE0B,RYE0B,391.6559345,190402,39.16559345,46.76339687,-25.80147504,0.061865666,51.53908766,190405,1.221305395,4.082014977,0.382050955,,,
125,RYE0C,RYE0C,RYE0C,336.6276747,190402,33.00271321,41.91634397,-24.84574338,0.058982513,67.58583138,190405,1.62857425,3.353983843,0.392668591,,,
128,RYE0C,RYE0C,RYE0C,359.5172966,190117,33.91672609,39.50292541,-24.93495973,0.247358233,52.69506455,190122A,1.297907994,2.417692369,0.581852531,,,
129,RYE21524A,RYE21524A,RYE21524A,393.1935033,181031,61.43648489,41.34763151,-24.98896863,0.081547204,77.91290738,181112,1.997766856,5.676192305,0.263823711,,,
130,RYE21524A,RYE21524A,RYE21524A,246.8867121,190402,39.82043744,45.67447804,-25.00377793,0.059451919,77.91290738,181112,1.997766856,5.676192305,0.263823711,,,
131,RYE21524B,RYE21524B,RYE21524B,714.1914567,190402,105.0281554,35.98704525,-24.74960897,0.058698466,86.71320425,181112,2.195270994,5.83519579,0.263367512,,,
134,RYE21524B,RYE21524B,RYE21524B,418.4996648,181031,66.42851822,32.23600676,-24.96019405,0.081529946,45.8061571,190228,2.202219091,3.790747597,0.334033802,,,
135,RYE21524C,RYE21524C,RYE21524C,359.0423969,190402,57.91006402,49.3633893,-25.98876768,0.062442534,67.18476574,181112,1.845735323,4.175881505,0.269210648,,,
136,RYE21524C,RYE21524C,RYE21524C,501.666825,181031,70.6572993,42.29490665,-26.13299125,0.082310432,67.18476574,181112,1.845735323,4.175881505,0.269210648,,,
137,RYE2154B,RYE2154B,RYE2154B,285.6917835,181031,43.95258208,41.00096617,-25.77702964,0.082056943,57.02022026,181112,1.432668851,3.967638551,0.270109195,,,
138,RYE2154C,RYE2154C,RYE2154C,296.1654239,181031,42.30934627,43.13565527,-25.62407343,0.081952439,53.4348082,181112,1.380744398,3.888653257,0.270459371,,,
139,RYE2154E,RYE2154E,RYE2154E,NA,NA,NA,NA,NA,NA,56.5337177,181112,1.445875133,3.769880543,0.270995572,,,
